id	type	modified	ownerInstitutionCode	dynamicProperties	eventID	parentEventID	samplingProtocol	sampleSizeValue	sampleSizeUnit	eventDate	eventTime	eventRemarks	locationID	country	countryCode	stateProvince	municipality	locality	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	footprintWKT	footprintSRS
3db2ad1f-6cea-4c0c-8ae5-6dc0c8128d1b	Event	2022-07-13 13:48:08	Miljødirektoratet	{"id":"3db2ad1f-6cea-4c0c-8ae5-6dc0c8128d1b","sampling_min_temp":-1.92,"sampling_max_temp":36.06,"sampling_avg_temp":15.63}	3db2ad1f-6cea-4c0c-8ae5-6dc0c8128d1b	b4dd5cd8-9e20-4da2-84a6-be290197435f	Level_3	75	trap_days	2022-07-06/2022-07-21	2022-07-06 02:00:00+02/2022-07-21 02:00:00+02	Insect sampling period within a fixed 500x500m square using multiple traps. See child event for individual traps.							In the original data, this known as sampling event: Ost_2022_Skog_22_sampling-03						
67f473c5-6dee-4b13-b558-31bbafbd080f	Event	2023-02-20 11:34:53	Miljødirektoratet	{"id":"67f473c5-6dee-4b13-b558-31bbafbd080f","trap_type":"Window","trap_model":"Window_NMBU_2021","liquid_name":"PropGl70_EtOH85","ethanol_prc_at_lab":null,"net_wet_weight":3.491}	67f473c5-6dee-4b13-b558-31bbafbd080f	d3ebc1b9-b930-4d40-bdcb-287efbce7ff2	Level_2	13	trap_days	2022-06-23/2022-07-06	2022-06-23 02:00:00+02/2022-07-06 02:00:00+02	Insect sampling period within a fixed 500x500m square from a single trap.	b4514e0c-d404-4d91-937e-a0abe2e5729d						In the original data, this known as trap: Ost_2022_Skog_22_VF2	61.7860296619145686	8.44288007875800517	EPSG:4326	1.0000	POINT(8.44288007875801 61.7860296619146)	GEOGCS["WGS 84",DATUM["WGS_1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.0174532925199433,AUTHORITY["EPSG","9122"]],AUTHORITY["EPSG","4326"]]
389bba80-8bbe-4906-93c0-26a597bf77b7	Event	2023-02-20 11:34:53	Miljødirektoratet	{"id":"389bba80-8bbe-4906-93c0-26a597bf77b7","trap_type":"Window","trap_model":"Window_NMBU_2021","liquid_name":"PropGl70_EtOH85","ethanol_prc_at_lab":72.83,"net_wet_weight":2.291}	389bba80-8bbe-4906-93c0-26a597bf77b7	1fecbd74-b221-40bb-86b8-36350aa6d81d	Level_2	15	trap_days	2022-09-26/2022-10-11	2022-09-26 02:00:00+02/2022-10-11 02:00:00+02	Insect sampling period within a fixed 500x500m square from a single trap.	b4514e0c-d404-4d91-937e-a0abe2e5729d						In the original data, this known as trap: Ost_2022_Skog_22_VF2	61.7860296619145686	8.44288007875800517	EPSG:4326	1.0000	POINT(8.44288007875801 61.7860296619146)	GEOGCS["WGS 84",DATUM["WGS_1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.0174532925199433,AUTHORITY["EPSG","9122"]],AUTHORITY["EPSG","4326"]]
c1a05959-c846-4a34-b059-78b090af50ab	Event	2023-02-20 11:34:53	Miljødirektoratet	{"id":"c1a05959-c846-4a34-b059-78b090af50ab","trap_type":"Window","trap_model":"Window_NMBU_2021","liquid_name":"PropGl70_EtOH85","ethanol_prc_at_lab":54.97,"net_wet_weight":7.681}	c1a05959-c846-4a34-b059-78b090af50ab	cb3a6c51-a6a8-4f47-bdef-b4d88bb36f87	Level_2	14	trap_days	2022-08-04/2022-08-18	2022-08-04 02:00:00+02/2022-08-18 02:00:00+02	Insect sampling period within a fixed 500x500m square from a single trap.	0283afff-638b-4f71-869f-322e54034edb						In the original data, this known as trap: Ost_2022_Skog_23_VF1	61.4225726136045722	10.2418523667825454	EPSG:4326	1.0000	POINT(10.2418523667825 61.4225726136046)	GEOGCS["WGS 84",DATUM["WGS_1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.0174532925199433,AUTHORITY["EPSG","9122"]],AUTHORITY["EPSG","4326"]]
cc5c4506-d23c-4db4-be1c-cc1318c63ec5	Event	2023-04-13 15:33:45	Miljødirektoratet	{"id":"cc5c4506-d23c-4db4-be1c-cc1318c63ec5","identification_name":"metabarcoding_novaseq","identification_comment":null,"read_abundance":556742,"ekstraksjonsdato":null,"ekstraksjonskit":null,"ekstraksjonskommentar":null}	cc5c4506-d23c-4db4-be1c-cc1318c63ec5	06a94a76-25d7-4743-9823-dcbae36e6754	Level_1			2020-09-04/2020-09-18		Insect identification of one trap sampling. The same trap sampling could have multiple identification runs, using different techniques							Coordinates copied from level_2, to fascilitate visualisation at GBIF.org	59.5398906144674882	10.1380557299218257	EPSG:4326	0.0500	POINT(10.1380557299218 59.5398906144675)	GEOGCS["WGS 84",DATUM["WGS_1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.0174532925199433,AUTHORITY["EPSG","9122"]],AUTHORITY["EPSG","4326"]]
32adaabb-6d68-4d90-9bac-035567f4bb7b	Event	2022-10-31 21:43:17	Miljødirektoratet	{"id":"32adaabb-6d68-4d90-9bac-035567f4bb7b","locality":"Semi-nat_50","year":2022,"habitat_type":"Semi-nat","region_name":"Østlandet","ssbid":20980006644500,"ano_flate_id":"ANO6454","no_herb_spec":10,"avg_prc_cov_herb_species":99.10,"no_tree_spec":null,"dom_tree_spec":null,"avg_dom_tree_age":null}	32adaabb-6d68-4d90-9bac-035567f4bb7b		Level_4	132	trap_days	2022-06-10/2022-10-20	2022-06-10 02:00:00+02/2022-10-20 02:00:00+02	Insect sampling season within a fixed 500x500m square using multiple traps. See child events for samling periods, and individual traps.	b5106c73-0797-4a3e-b7bf-375529217b43	Norway	NO	Vestfold og Telemark	Vinje	Totaknosdalen	In the original data, this known as square: Ost_2022_Semi-nat_50	59.7451808673729943	7.84300350887669939	EPSG:4326	0.0000	POLYGON((7.83906923119109 59.7427118146672,7.83811129109491 59.7471665804217,7.84693836457127 59.7476498123073,7.84789514864954 59.7431949606721,7.83906923119109 59.7427118146672))	GEOGCS["WGS 84",DATUM["WGS_1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.0174532925199433,AUTHORITY["EPSG","9122"]],AUTHORITY["EPSG","4326"]]
f0412a3b-7864-472d-a834-e5e2cced1973	Event	2022-09-21 15:10:48	Miljødirektoratet	{"id":"f0412a3b-7864-472d-a834-e5e2cced1973","locality":"Semi-nat_04","year":2020,"habitat_type":"Semi-nat","region_name":"Østlandet","ssbid":21920006874500,"ano_flate_id":"ANO4145","no_herb_spec":15,"avg_prc_cov_herb_species":87.20,"no_tree_spec":null,"dom_tree_spec":null,"avg_dom_tree_age":null}	f0412a3b-7864-472d-a834-e5e2cced1973		Level_4	258	trap_days	2020-05-27/2020-09-14	2020-05-27 02:00:00+02/2020-09-14 02:00:00+02	Insect sampling season within a fixed 500x500m square using multiple traps. See child events for samling periods, and individual traps.	d4ac9fd0-e5ff-4dee-8a88-9253e61aeb7b	Norway	NO	Innlandet	Vågå	Vågåmo	In the original data, this known as square: Ost_2020_Semi-nat_04	61.8803949303511374	9.14161072109778949	EPSG:4326	0.0000	POLYGON((9.13730947378762 61.8779603802598,9.13645278048989 61.882425261715,9.14591264982309 61.882829353542,9.14676798029057 61.8783643966915,9.13730947378762 61.8779603802598))	GEOGCS["WGS 84",DATUM["WGS_1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.0174532925199433,AUTHORITY["EPSG","9122"]],AUTHORITY["EPSG","4326"]]
56b56443-f8b7-403a-810b-8d1fd70f0092	Event	2023-04-05 12:50:42	Miljødirektoratet	{"id":"56b56443-f8b7-403a-810b-8d1fd70f0092","trap_type":"Malaise","trap_model":"Malaise_Watkins_Black","liquid_name":"EtOH96","ethanol_prc_at_lab":null,"net_wet_weight":null}	56b56443-f8b7-403a-810b-8d1fd70f0092	e6e92509-5844-45d6-ab2f-922c25da805a	Level_2		trap_days			Insect sampling period within a fixed 500x500m square from a single trap.	c87058c9-34db-42d6-a915-c6fc13bc4f92						In the original data, this known as trap: Sor_2023_Semi-nat_70_MF1	59.6502521256274392	5.75918990605162406	EPSG:4326	125.0000	POINT(5.75918990605162 59.6502521256274)	GEOGCS["WGS 84",DATUM["WGS_1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.0174532925199433,AUTHORITY["EPSG","9122"]],AUTHORITY["EPSG","4326"]]
3572c019-ff16-406c-958a-2d374aeabbbc	Event	2022-10-31 21:47:49	Miljødirektoratet	{"id":"3572c019-ff16-406c-958a-2d374aeabbbc","sampling_min_temp":-0.84,"sampling_max_temp":34.59,"sampling_avg_temp":16.41}	3572c019-ff16-406c-958a-2d374aeabbbc	75d57b0d-f048-4631-b996-2f6214287ab6	Level_3	60	trap_days	2022-09-26/2022-10-08	2022-09-26 02:00:00+02/2022-10-08 02:00:00+02	Insect sampling period within a fixed 500x500m square using multiple traps. See child event for individual traps.							In the original data, this known as sampling event: Ost_2022_Skog_27_sampling-08						
ec3d2f68-e47b-47a4-9881-538bf94c7506	Event	2023-02-20 11:34:53	Miljødirektoratet	{"id":"ec3d2f68-e47b-47a4-9881-538bf94c7506","trap_type":"Window","trap_model":"Window_NMBU_2021","liquid_name":"PropGl70_EtOH85","ethanol_prc_at_lab":78,"net_wet_weight":null}	ec3d2f68-e47b-47a4-9881-538bf94c7506	ee7aaee1-c6f1-4cb8-9210-12620d7ccc81	Level_2	38	trap_days	2021-08-05/2021-09-12	2021-08-05 02:00:00+02/2021-09-12 02:00:00+02	Insect sampling period within a fixed 500x500m square from a single trap.	473b29e7-5fa5-414f-8abc-3c4e4ca1fa68						In the original data, this known as trap: Ost_2021_Skog_11_VF2	60.6471635742884416	8.47776923593662346	EPSG:4326	1.0000	POINT(8.47776923593662 60.6471635742884)	GEOGCS["WGS 84",DATUM["WGS_1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.0174532925199433,AUTHORITY["EPSG","9122"]],AUTHORITY["EPSG","4326"]]
